id,category_id,question_id,question_number,question_text,check_box,block_number,block_text,option_code,option_text,response_message,companion_advice,tone_tag,next_question_id,site
1,1,1_1,1,"“Status: undefined, but not unloved.”
Not all love lives are loud.
Some are still forming, healing, daydreaming, or blooming when no one’s watching.
What’s yours trying to say right now?

If your love life had a status update, what would it say?",FALSE,1,Do They Like Me?,A,"A. Unpaired. Unbothered. Still in orbit.
","A. Some people search. You radiate.
If someone gets pulled in—it’s not luck. It’s gravity.
","🪐 You’re the whole planet.
Not a moon. Not a satellite.
Just spinning your own story till someone’s worth the ride.",,,teen
2,1,1_1,1,"If your love life had a status update, what would it say?",FALSE,1,Do They Like Me?,B,B. Pairing mode on. Still blinking …,"B. 🔎 It’s okay if no one’s synced yet. Some Bluetooths just take a sec.
(W for curiosity without clutching.)","Ever notice how devices pair faster when both sides are ready?
Same with people. Your job isn’t to chase—it’s to stay clear, kind, and open.
The right signal will find you.",,,teen
3,1,1_1,1,"If your love life had a status update, what would it say?",FALSE,1,Do They Like Me?,C,C. Connected. Kinda laggy. But we’re updating.,"C. 📶 Loving while buffering? That’s a real skill.
You're allowed to be in it and fixing it.
(W for troubleshooting love in real time.)",💞 You don’t have to define it right away. Just stay present.,,,teen
4,1,1_1,1,"If your love life had a status update, what would it say?",FALSE,1,Do They Like Me?,D,D. Patch notes dropping soon. Heart.exe rebooting.,D. Healing isn’t a pause. It’s a power move.,🛠 Take your time. Love isn’t the goal—knowing yourself is.,,,teen
5,1,1_1,1,"If your love life had a status update, what would it say?",FALSE,1,Do They Like Me?,OTHER,Write your own,,,,,teen
6,1,1_2,2,What kind of love do you believe in?,FALSE,2,"Small Moves, Big Feels
[playlist:Love]",A,A. Quiet and safe.,A. You believe in love that doesn’t need to perform. The kind that sits beside you in silence and still feels warm.,Safety in love doesn’t mean nothing happens—it means nothing hurts you in secret. Keep looking for the kind of love that holds still and stays true.,Love Belief,,teen
7,1,1_2,2,What kind of love do you believe in?,FALSE,2,"Small Moves, Big Feels
[playlist:Love]",B,B. Slow and real.,"B. You believe in love that isn’t rushed. It takes time, trust, and mutual respect—not fireworks, but something you can actually count on.",Love isn’t luck. It’s built choice by choice. And the kind that respects your independence and roots itself in honesty? That’s the kind that lasts.,Love Belief,,teen
8,1,1_2,2,What kind of love do you believe in?,FALSE,2,"Small Moves, Big Feels
[playlist:Love]",C,C. Laughs even when it’s hard.,"C. You believe in love that knows how to lift. The kind that survives through joy, inside jokes, and not taking everything so seriously.",Laughter isn’t the opposite of depth—it’s the doorway to it. Keep believing in the kind of love that makes the hard parts feel a little lighter.,Love Belief,,teen
9,1,1_2,2,What kind of love do you believe in?,FALSE,2,"Small Moves, Big Feels
[playlist:Love]",OTHER,Other,,,,,teen
10,1,1_3,3,"Real safety isn’t just about avoiding harm—it’s about feeling free to be yourself.
You deserve people who don’t just like you—but protect your peace.
What makes you feel safe with someone?",TRUE,3,Kind of a Couple,A,A. They don’t pressure me. Period.,"A. You feel safe when your “no” is respected—immediately, and without guilt. It’s not just about rules—it’s about feeling like you’re in control of your own body, time, and value.","Pressure doesn’t always sound loud. Sometimes it hides in guilt or silence. But you’re allowed to pause, say no, or change your mind—at any time. That’s real safety.",Emotional Safety,,teen
11,1,1_3,3,What makes you feel safe with someone?,TRUE,3,Kind of a Couple,B,B. I can say real stuff—and they actually hear it.,"B. You feel safe when someone lets you speak without trying to fix you, defend themselves, or shut it down. That kind of listening builds real trust.",A good listener doesn’t just hear your words—they make space for your feelings. You don’t need someone who’s perfect. You need someone who stays kind when it matters.,Emotional Safety,,teen
